ids	Sample	Size	Depth	Biome	Region	Latitude	Longitude	Depth.nominal	Depth.Mixed.Layer	Temperature	Salinity	PO4	NO2NO3	Si	ChlorophyllA	TARA_067_SRF_0.22-0.45_G_C17442180_1_gene509279	TARA_067_SRF_0.22-0.45_G_C17242166_1_gene403688	TARA_145_SRF_0.22-3_G_scaffold242061_1_gene241117	TARA_067_SRF_0.45-0.8_G_scaffold219644_1_gene229127	TARA_145_SRF_0.22-3_G_scaffold270121_1_gene276069
TARA_067_SRF_0.22-3_G	TARA_067_SRF	Pico	SRF	Coastal	SAO	-32.2401	17.7103	5	25	13.04322	34.870735	NA	NA	NA	0.765222	0.004084107838043226	0.006957106879662872	0.002697359536673025	0.46714715721541794	0
TARA_068_DCM_0.22-3_G	TARA_068_DCM	Pico	DCM	Trades	SAO	-31.0616	4.6617	40	210	16.75627	35.68462	0.227	1.08	2.436	0.355259	0	0	0	0.004201813392904299	0
TARA_068_SRF_0.22-3_G	TARA_068_SRF	Pico	SRF	Trades	SAO	-31.0616	4.6617	5	210	16.86368	35.686225	0.1455	0.939	1.9865	0.316174	0	0	0	0.03158239427761491	0
TARA_070_SRF_0.22-3_G	TARA_070_SRF	Pico	SRF	Trades	SAO	-20.4091	-3.1759	5	149	19.77001	36.35839	0.309	0.8015	1.1485	0.117466	0	0	0	0	0
TARA_072_DCM_0.22-3_G	TARA_072_DCM	Pico	DCM	Trades	SAO	-8.7026	-17.9398	100	88	23.635845	36.60243	0.143	0.044	1.284	0.244384	0	0	0	0	0
TARA_072_SRF_0.22-3_G	TARA_072_SRF	Pico	SRF	Trades	SAO	-8.8118	-17.9126	5	86	25.064425	36.41678	0.104	0.018	0.868	0.104143	0	0	0	0	0
TARA_076_DCM_0.22-3_G	TARA_076_DCM	Pico	DCM	Trades	SAO	-20.999	-35.3216	130	31	22.233095	36.87312	0.029715	0	0.814172	0.102446	0	0	0	0	0
TARA_076_SRF_0.22-3_G	TARA_076_SRF	Pico	SRF	Trades	SAO	-20.9354	-35.1803	5	50	23.374825	37.076575	0.055883	0	0.814172	0.055113	0	0	0	0	0
TARA_078_DCM_0.22-3_G	TARA_078_DCM	Pico	DCM	Trades	SAO	-30.1551	-43.2595	120	85	19.32335	36.27746	0	0.104	0.319	0.16855	0	0	0	0	0
TARA_078_SRF_0.22-3_G	TARA_078_SRF	Pico	SRF	Trades	SAO	-30.1367	-43.2899	5	89	20.07775	36.32553	0	0.026	0.749	0.066207	0	0	0	0	0
TARA_082_DCM_0.22-3_G	TARA_082_DCM	Pico	DCM	Coastal	SAO	-47.2129	-58.0594	15	18	7.481658	34.0507	1.302	18.005	1.945	0.396348	0	0	0	0	0
TARA_082_SRF_0.22-3_G	TARA_082_SRF	Pico	SRF	Coastal	SAO	-47.1847	-58.295	5	55	7.579417	34.05025	1.302	18.005	1.945	0.426587	0	0	0	0	0
TARA_084_SRF_0.22-3_G	TARA_084_SRF	Pico	SRF	Polar	SO	-60.2287	-60.6476	5	254	1.9034	33.7198	1.723	25.3	16.55	0.207979	0	0	0	0	0
TARA_085_DCM_0.22-3_G	TARA_085_DCM	Pico	DCM	Polar	SO	-62.1832	-49.2502	90	30	-0.80475	34.363065	2.309	31	81.82	0.289537	0	0	0	0	0
TARA_085_SRF_0.22-3_G	TARA_085_SRF	Pico	SRF	Polar	SO	-62.0349	-49.5383	5	499	0.73159	34.327465	2.1055	28.64	80.55	0.276495	0	0	0	0	0
TARA_093_DCM_0.22-3_G	TARA_093_DCM	Pico	DCM	Coastal	SPO	-34.0665	-73.0981	30	22	16.60395	34.284175	1.0365	5.9555	0.3855	0.477628	0	0	0	0	0
TARA_093_SRF_0.22-3_G	TARA_093_SRF	Pico	SRF	Coastal	SPO	-34.0614	-73.1066	5	26	18.122955	34.31598	0.52125	0.2115	0.1445	0.361109	0	0	0	0	0
TARA_094_SRF_0.22-3_G	TARA_094_SRF	Pico	SRF	Trades	SPO	-32.7971	-87.0693	5	48	21.121575	34.682538	0.2425	0.029	0.103	0.147303	0	0	0	0	0
TARA_096_SRF_0.22-3_G	TARA_096_SRF	Pico	SRF	Trades	SPO	-29.7238	-101.1604	5	49	23.84533	35.76868	0.1575	NA	0.5305	0.070669	0	0	0	0	0
TARA_098_DCM_0.22-3_G	TARA_098_DCM	Pico	DCM	Trades	SPO	-25.8252	-111.7757	175	69	20.352885	35.888155	0.0965	0.049	0.35	0.117421	0	0	0	0	0
TARA_098_SRF_0.22-3_G	TARA_098_SRF	Pico	SRF	Trades	SPO	-26.7219	-110.0423	2	NA	25.165975	36.382975	NA	NA	NA	0.085574	0	0	0	0	0
