ids	Sample	Size	Depth	Biome	Region	Latitude	Longitude	Depth.nominal	Depth.Mixed.Layer	Temperature	Salinity	PO4	NO2NO3	Si	ChlorophyllA	TARA_208_SRF_0.22-3_G_scaffold180075_1_gene217350	TARA_067_SRF_lt-0.22_G_scaffold77676_1_gene65551	TARA_208_SRF_0.22-3_G_scaffold190124_1_gene237696	TARA_151_DCM_0.22-3_G_scaffold175905_1_gene147338	TARA_067_SRF_0.22-3_G_scaffold35176_1_gene41262	TARA_082_DCM_0.22-3_G_scaffold78618_1_gene75306	TARA_066_DCM_lt-0.22_G_C3726495_1_gene127366	TARA_066_SRF_0.22-3_G_scaffold153372_1_gene123470	TARA_078_SRF_0.22-0.45_G_scaffold145770_1_gene96930	TARA_149_SRF_0.22-3_G_scaffold246964_1_gene263373	TARA_158_SRF_0.22-3_G_scaffold194498_1_gene182789	TARA_152_MIX_0.22-3_G_scaffold253131_1_gene220687	TARA_196_SRF_lt-0.22_G_scaffold13817_3_gene40494
TARA_082_DCM_0.22-3_G	TARA_082_DCM	Pico	DCM	Coastal	SAO	-47.2129	-58.0594	15	18	7.481658	34.0507	1.302	18.005	1.945	0.396348	0.0012839722323098987	0	0	0	0	0.04256308506901826	0	0	0	0	0	0	0
TARA_082_SRF_0.22-3_G	TARA_082_SRF	Pico	SRF	Coastal	SAO	-47.1847	-58.295	5	55	7.579417	34.05025	1.302	18.005	1.945	0.426587	0.0049119180328619436	0	0	0	0	0.039565032878189514	0	0	0	0	0	0	0
TARA_084_SRF_0.22-3_G	TARA_084_SRF	Pico	SRF	Polar	SO	-60.2287	-60.6476	5	254	1.9034	33.7198	1.723	25.3	16.55	0.207979	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_085_DCM_0.22-3_G	TARA_085_DCM	Pico	DCM	Polar	SO	-62.1832	-49.2502	90	30	-0.80475	34.363065	2.309	31	81.82	0.289537	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_085_SRF_0.22-3_G	TARA_085_SRF	Pico	SRF	Polar	SO	-62.0349	-49.5383	5	499	0.73159	34.327465	2.1055	28.64	80.55	0.276495	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_093_DCM_0.22-3_G	TARA_093_DCM	Pico	DCM	Coastal	SPO	-34.0665	-73.0981	30	22	16.60395	34.284175	1.0365	5.9555	0.3855	0.477628	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_093_SRF_0.22-3_G	TARA_093_SRF	Pico	SRF	Coastal	SPO	-34.0614	-73.1066	5	26	18.122955	34.31598	0.52125	0.2115	0.1445	0.361109	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_094_SRF_0.22-3_G	TARA_094_SRF	Pico	SRF	Trades	SPO	-32.7971	-87.0693	5	48	21.121575	34.682538	0.2425	0.029	0.103	0.147303	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_096_SRF_0.22-3_G	TARA_096_SRF	Pico	SRF	Trades	SPO	-29.7238	-101.1604	5	49	23.84533	35.76868	0.1575	NA	0.5305	0.070669	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_098_DCM_0.22-3_G	TARA_098_DCM	Pico	DCM	Trades	SPO	-25.8252	-111.7757	175	69	20.352885	35.888155	0.0965	0.049	0.35	0.117421	0	0	0	0	0	0	0	0	0	0	0	0	0
