otu	mean_freq	max_freq	opt_temp	thermotype
680235	4.907382328709739e-7	2.203808180535966e-5	-0.585333	low
314474	4.639467018028969e-6	4.361098996947231e-4	26.12925	high
748488	2.626740215392697e-4	0.02469135802469135	22.233095	high
28565	1.605595070426846e-4	0.01232394366197183	-0.479225	low
56867	2.2220987722904254e-5	0.002088772845953	13.04322	medium
292452	6.286295498635245e-7	5.9091177687171306e-5	1.325833	low
135756	1.6640263372540298e-6	6.524114759178614e-5	1.365705	low
300750	8.01081174021283e-5	0.00398406374501992	26.317294	high
662793	9.838615226713179e-8	9.248298313110388e-6	-1.53759	low
307956	0	0	16.3584	medium
528833	9.838615226713179e-8	9.248298313110388e-6	-1.53759	low
252271	2.8934954944658232e-5	0.00186567164179104	6.73489	low
3511	0.0026669396123427547	0.14608512874408827	-1.53136	low
368986	3.9354460906852714e-7	3.699319325244155e-5	-1.53759	low
115509	1.0221616389916328e-5	5.178663904712584e-4	-1.29785	low
13744	2.477133322476898e-4	0.00561945275983404	-0.160312	low
79121	1.2807281017651489e-5	0.00105097214923804	-1.53136	low
13168	4.674485763608242e-4	0.01471361008933263	-1.53136	low
506291	3.394823087590422e-7	2.8485564939966673e-5	2.507887	low
74928	5.876784398398734e-4	0.02272727272727272	16.60395	medium
424523	0	0	16.3584	medium
439482	0	0	16.3584	medium
740891	4.4428752682758734e-7	2.545274062384667e-5	-1.649738	low
6220	0.0025896629687478514	0.03935784567581564	-1.29785	low
163596	7.455534117285858e-6	5.178663904712584e-4	-1.29785	low
639756	3.644438386577971e-8	3.4257720833832925e-6	-1.680906	low
302968	0	0	16.3584	medium
654375	1.8796334631241096e-7	1.4242782469983337e-5	2.507887	low
150730	2.7262152861920212e-5	0.0025626423690205	5.295265	low
225531	2.327966169525004e-6	1.4459224985540774e-4	1.899612	low
732005	1.0477159164392078e-7	9.848529614528553e-6	1.325833	low
612815	0	0	16.3584	medium
165998	1.3404543446924747e-6	6.491820306413918e-5	0.10149	low
256097	9.888576594681807e-7	2.6259125045953468e-5	-0.160312	low
571714	1.0359287723000935e-6	9.737730459620878e-5	0.10149	low
577086	0	0	16.3584	medium
309018	2.7345782300862352e-06	1.9561815336463224e-4	-0.479225	low
90598	1.117409576423552e-6	1.0503650018381388e-4	-0.160312	low
88033	7.666329974087463e-6	1.9047619047619048e-4	17.627142	medium
485230	0	0	16.3584	medium
183608	1.0515181189866306e-6	4.2728347409950005e-5	2.507887	low
76484	2.0220795463739335e-5	5.659309564233164e-4	16.8858	medium
48132	1.3948861345933861e-5	2.891844997108155e-4	1.899612	low
215019	2.9607411005506873e-6	2.2289917527305148e-4	1.48885	low
89570	3.6866089909604767e-6	2.8885037550548814e-4	-0.160312	low
695929	1.9677230453426357e-7	1.8496596626220776e-5	-1.53759	low
541521	0	0	16.3584	medium
545526	2.0954318328784156e-7	1.9697059229057105e-5	1.325833	low
108609	2.4413609097493422e-5	0.00178571428571428	-0.80475	low
141899	1.8116646361738063e-6	4.407616361071932e-5	-0.585333	low
84898	8.140508693946154e-4	0.04761904761904761	25.607735	high
663005	7.904226073512464e-7	7.429972509101716e-5	1.48885	low
183720	1.5702756609331263e-6	1.3129562522976734e-4	-0.160312	low
455674	5.587047882117759e-7	5.2518250091906935e-5	-0.160312	low
806101	1.5151896244663125e-7	1.4242782469983337e-5	2.507887	low
323029	1.3076253121140603e-6	1.1019040902679833e-4	-0.585333	low
41634	1.2036368349906477e-4	0.01131418624891209	13.04322	medium
268300	0	0	16.3584	medium
5064	0.005403068813039534	0.21195652173913043	-0.405775	low
518090	1.453319381467266e-5	0.00136612021857923	0.73159	low
320230	9.734071557206341e-7	6.524114759178614e-5	1.365705	low
115747	1.3903905189332736e-5	0.00108695652173913	-0.405775	low
219502	0	0	16.3584	medium
488329	0	0	16.3584	medium
63157	4.472444574254904e-5	0.00217391304347826	-0.405775	low
260145	0	0	16.3584	medium
596134	2.3444767878042194e-7	2.203808180535966e-5	-0.585333	low
379161	4.545568873398937e-7	4.2728347409950005e-5	2.507887	low
90330	0.001472170871085574	0.13157894736842105	27.558763	high
363817	1.2939485851964657e-6	5.9091177687171306e-5	1.325833	low
227544	2.6894565918578902e-6	1.9377028532674515e-4	2.496125	low
536014	5.587047882117759e-7	5.2518250091906935e-5	-0.160312	low
162391	6.487295446161882e-6	3.825920612147298e-4	1.457935	low
76555	1.0267304249994214e-5	4.868865229810439e-4	0.10149	low
17964	1.7758617925542626e-4	0.00299354025523869	-0.160312	low
407601	1.6127909644746416e-5	0.00107991360691144	14.31916	medium
28353	1.2718146281768476e-4	0.00315291644771413	-1.53136	low
729946	1.9677230453426357e-7	1.8496596626220776e-5	-1.53759	low
161791	1.03603497744425e-6	4.8930860693839605e-5	1.365705	low
46460	3.898526125021695e-5	0.0018796992481203	1.899612	low
292764	1.3967619705294399e-6	1.3129562522976734e-4	-0.160312	low
596619	3.1431477493176226e-7	2.9545588843585653e-5	1.325833	low
327900	1.378870321621409e-6	6.491820306413918e-5	0.10149	low
576976	6.394956692581953e-7	2.203808180535966e-5	-0.585333	low
410400	5.736669492047646e-7	4.407616361071932e-5	-0.585333	low
232829	0	0	16.3584	medium
324291	3.5979464839014104e-7	1.4242782469983337e-5	2.507887	low
289650	1.8796334631241096e-7	1.4242782469983337e-5	2.507887	low
63541	0	0	16.3584	medium
52574	0.0014663402131704147	0.04545454545454545	26.313595	high
22226	3.9199206699381005e-4	0.01113585746102449	1.9034	low
22663	2.262230589663976e-4	0.01559020044543429	1.9034	low
10722	3.906746233493173e-4	0.01760745727602278	-1.29785	low
198267	2.120389667038234e-5	0.00199316628701594	5.295265	low
59652	1.1953629497748867e-5	4.544274214489743e-4	0.10149	low
541094	4.436957430338296e-7	3.245910153206959e-5	0.10149	low
232084	3.4837095751231843e-6	1.9408682150481984e-4	2.5694	low
232617	7.595101912588282e-7	4.844257133168629e-5	2.496125	low
147608	0	0	16.3584	medium
674671	0	0	16.3584	medium
182557	1.0036130068245681e-4	0.00943396226415094	13.874505	medium
133679	3.7424661786226515e-6	2.4241889985895628e-4	-0.585333	low
578375	0	0	16.3584	medium
174622	1.1563367252543937e-5	0.00108695652173913	-0.405775	low
76751	0.0011025327855176883	0.04093567251461988	24.778725	high
14215	3.0613522880232325e-4	0.00465003526093088	-0.585333	low
614708	4.688953575608439e-7	4.407616361071932e-5	-0.585333	low
117307	1.6621377283414729e-6	7.429972509101716e-5	1.48885	low
133890	1.2962242838360745e-5	0.00121845082680591	13.04322	medium
185315	1.1048826960851144e-5	5.091649694501018e-4	10.876965	medium
1918	0.007266227675181174	0.14433635755081112	2.507887	low
193957	1.0203443684527912e-6	4.407616361071932e-5	-0.585333	low
320504	1.416062481120085e-6	7.877737513786041e-5	-0.160312	low
326989	9.455581585455671e-7	8.545669481990001e-5	2.507887	low
470869	1.712749199986912e-7	9.248298313110388e-6	-1.53759	low
545918	3.8347176467315283e-7	3.262057379589307e-5	1.365705	low
117133	6.511465158099104e-6	3.7149862545508583e-4	1.48885	low
251529	0	0	16.3584	medium
196990	9.62519024204214e-7	6.491820306413918e-5	0.10149	low
125137	0	0	16.3584	medium
692071	5.138000728863099e-7	2.6259125045953468e-5	-0.160312	low
21039	0.0030864811408066076	0.203551912568306	0.73159	low
294416	1.9342359767891594e-5	0.00181818181818181	27.635025	high
167	0.33047115723150033	0.9972182730682928	-1.680906	low
538018	0	0	16.3584	medium
471692	6.570909404789076e-7	5.2518250091906935e-5	-0.160312	low
697600	0	0	16.3584	medium
580015	4.190863665756831e-7	3.939411845811421e-5	1.325833	low
389391	6.058256191537827e-6	5.694760820045558e-4	5.295265	low
93778	1.6406206158047052e-6	8.90700741679656e-5	-1.680906	low
428689	1.0477159164392078e-7	9.848529614528553e-6	1.325833	low
287845	6.299639527258251e-6	5.178663904712584e-4	-1.29785	low
93432	0	0	16.3584	medium
292444	7.406995907634761e-6	6.962576153176675e-4	13.04322	medium
385103	1.1096585241633709e-6	6.611424541607899e-5	-0.585333	low
190871	9.576110624154435e-6	5.178663904712584e-4	-1.29785	low
306661	1.1476334264143045e-6	3.646308113035551e-5	15.014	medium
784948	0	0	16.3584	medium
604351	2.7935239410588793e-7	2.6259125045953468e-5	-0.160312	low
81780	4.9997222376534575e-5	0.00469973890339425	13.04322	medium
160364	1.2962242838360745e-5	0.00121845082680591	13.04322	medium
291561	0	0	16.3584	medium
244723	1.2205204361496468e-6	4.407616361071932e-5	-0.585333	low
338746	3.176088375408489e-7	1.7128860416916463e-5	-1.680906	low
319205	2.579237876464054e-6	1.2939121433654655e-4	2.5694	low
261773	0	0	16.3584	medium
28474	6.264006066648609e-4	0.0303030303030303	15.181967	medium
485203	1.0477159164392078e-7	9.848529614528553e-6	1.325833	low
92870	1.5702756609331263e-6	1.3129562522976734e-4	-0.160312	low
33762	3.402696702424162e-5	8.172969760011888e-4	1.48885	low
160733	8.38057182317664e-7	7.877737513786041e-5	-0.160312	low
38868	3.1431477493176226e-7	2.9545588843585653e-5	1.325833	low
444916	1.0036130068245681e-4	0.00943396226415094	13.874505	medium
268780	1.2523056459593685e-6	5.2518250091906935e-5	-0.160312	low
186058	1.688703314869999e-6	1.4242782469983336e-4	2.507887	low
67285	1.5460824332873e-5	8.542141230068337e-4	5.295265	low
430546	3.9354460906852714e-7	3.699319325244155e-5	-1.53759	low
166481	3.702797970330132e-4	0.01886792452830188	13.874505	medium
86790	1.5463036576264418e-6	9.78617213876792e-5	1.365705	low
108712	1.9765743242611562e-6	9.564801530368244e-5	1.457935	low
344611	0	0	16.3584	medium
154806	1.8716143919928694e-6	8.323468481799349e-5	-1.53759	low
533273	1.6814264287976827e-6	1.4532771399505885e-4	2.496125	low
96238	2.1260093289059975e-6	7.429972509101716e-5	1.48885	low
657516	1.8802223174868195e-6	1.7674089784376103e-4	15.9708	medium
125153	5.4001512042337127e-5	0.00507614213197969	19.32335	medium
392381	1.1018433839813936e-5	0.00103573278094251	-1.29785	low
300098	6.514150468983005e-7	3.245910153206959e-5	0.10149	low
365622	4.784931402883717e-7	2.545274062384667e-5	-1.649738	low
62578	1.5660024551998786e-5	5.178663904712584e-4	-1.29785	low
276132	1.9980786129769287e-6	1.4459224985540774e-4	1.899612	low
